,School,Year,Bilingual Education (BUDGET),General Education (BUDGET),Other Grants (BUDGET),Special Education (BUDGET),State LAP (BUDGET),Total Budget (BUDGET),Seattle Ed. Levy (BUDGET),Federal Title I (BUDGET),Bilingual Education (ENROLLMENT),Free and Reduced Lunch (ENROLLMENT),Special Education (ENROLLMENT),Total AAFTE* Enrollment (ENROLLMENT),Full Address,Latitude,Longitude,Closest School,Distance to Closest School (miles),Budget Efficiency,Cluster_3a,Cluster_4a,Cluster_5a,Cluster_6a,Cluster_3b,Cluster_4b,Cluster_5b,Cluster_6b,Cluster_3c,Cluster_4c,Cluster_5c,Cluster_6c,Use,Classification,Address,Landmark,Building Area (Gross sf),Building Area (SCAP Recognized sf),Site Area (acre),Date of Construction,Date of Last Full Reno,Levy (1985-2019),Disadvantage Score,Predicted Total Budget (BUDGET),Excess Total Budget,Excess Budget per Student,Building Area per Student (sf)
0,Adams Elementary,2023,31138.0,2579214.0,24541.0,532400.0,45506.0,3212799.0,0.0,0.0,8.0,38.0,27.0,279.0,"6110 28th Ave. NW Seattle, WA 98107 ",47.6735243,-122.3915651,Loyal Heights Elementary,0.8786821411168129,11515.408602150535,1,1,1,1,1,3,3,3,2,2,2,5,E,Ess.,6110 28th Ave. NW,,63136.0,"63,136",3.4,1989,,CIP I,0.2616487455197133,3220099.4,-7300.4,-26.17,226.29
1,Alki Elementary,2023,31207.0,2504977.0,0.0,143943.0,60674.0,2743342.0,0.0,0.0,11.0,29.0,14.0,278.0,"5000 SW Spokane St Seattle, WA 98116 ",47.5726539,-122.3968136,Genesee Hill Elementary,0.4284647335413581,9868.13669064748,1,1,1,1,1,3,3,3,2,0,0,0,E,Ess.,3010 59th Ave. SW,,45387.0,"45,387",1.4,1954,2025,BEX V,0.19424460431654678,2895907.68,-152565.68,-548.8,163.26
2,Arbor Heights Elementary,2023,62297.0,4178412.0,77541.0,1598353.0,60674.0,6528312.0,551035.0,0.0,17.0,75.0,71.0,470.0,"3701 SW 104th St. Seattle, WA 98146 ",47.5096538,-122.3782632,Roxhill Elementary,1.6060477050230857,13890.025531914893,0,3,3,3,0,0,2,2,1,1,1,1,E,Ess.,3701 SW 104th St.,,91660.0,"91,660",5.7,2016,,BEX IV,0.3468085106382979,5689490.26,838821.74,1784.73,195.02
3,Daniel Bagley Elementary,2023,62528.0,2981528.0,63065.0,1382393.0,60674.0,4550188.0,0.0,0.0,27.0,44.0,46.0,310.0,"7821 Stone Ave. N Seattle, WA 98103 ",47.68634429999999,-122.3425126,Cascadia Elementary,0.6627938412909924,14678.025806451613,0,3,1,3,0,0,2,5,2,2,4,4,E,Ess.,7821 Stone Ave. N,Y,62752.0,TBD,3.9,1930,2020,BEX IV,0.3774193548387097,4021061.09,529126.91,1706.86,202.43
4,Beacon Hill International Elementary,2023,375239.0,3294062.0,0.0,296791.0,151685.0,4661912.0,450433.0,91161.0,165.0,152.0,34.0,337.0,"2025 14th Ave. S Seattle, WA 98144 ",47.5850972,-122.3153864,Thurgood Marshall Elementary,0.8345467794949647,13833.566765578636,2,2,2,2,1,1,1,1,2,2,4,5,E,Ess.,2025 14th Ave. S,,51704.0,"51,704",1.9,1971,,BEX II,1.0415430267062316,5187641.54,-525729.54,-1560.03,153.42
5,Bryant Elementary,2023,62528.0,4315784.0,176111.0,225003.0,45506.0,4824932.0,0.0,0.0,27.0,14.0,20.0,487.0,"3311 NE 60th St. Seattle, WA 98115 ",47.6711348,-122.2917845,Laurelhurst Elementary,0.8904080322847421,9907.457905544148,0,0,0,0,0,0,0,0,2,2,2,2,E,Ess.,3311 NE 60th St.,Y,83167.0,"81,256",3.3,1926,2001,BEX I,0.12525667351129363,4481517.4,343414.6,705.16,170.77
6,Cascadia Elementary,2023,31046.0,3745599.0,250392.0,369466.0,45506.0,4993044.0,0.0,0.0,4.0,20.0,35.0,455.0,"1700 N 90th St. Seattle, WA 98103 ",47.69525960000001,-122.3372646,Daniel Bagley Elementary,0.6627938412909924,10973.723076923075,0,0,0,0,0,0,0,0,2,2,2,2,E,Ess.,1700 North 90th St.,,97381.0,"97,381",5.4,2017,,BEX IV,0.12967032967032968,4488157.57,504886.43,1109.64,214.02
7,Cedar Park Elementary,2023,93759.0,2214207.0,0.0,71697.0,60674.0,2845926.0,403048.0,0.0,39.0,40.0,6.0,213.0,"3737 NE 135th St. Seattle, WA 98125 ",47.7260396,-122.2872652,Olympic Hills Elementary,0.917010768681375,13361.154929577464,1,1,1,1,1,3,3,3,1,2,4,5,E,Ess.,3737 NE 135th St.,Y,33037.0,"31,312",4.4,1959,2015,BEX IV,0.39906103286384975,2512257.96,333668.04,1566.52,155.1
8,Coe Elementary,2023,62460.0,3861626.0,251541.0,368591.0,45506.0,4589724.0,0.0,0.0,24.0,37.0,37.0,442.0,"2424 7th Ave. W Seattle, WA 98119 ",47.6406983,-122.3655893,Queen Anne Elementary,0.814453929807691,10383.990950226244,0,0,0,0,0,0,0,0,2,2,2,2,E,Ess.,2424 7th Ave. W,,79461.0,TBD,2.9,2003,2021,BEX I; DSG,0.22171945701357465,4633946.1,-44222.1,-100.05,179.78
9,Concord International Elementary,2023,498823.0,2907047.0,0.0,296771.0,151595.0,4312242.0,356000.0,99465.0,155.0,188.0,28.0,290.0,"723 S. Concord St. Seattle, WA 98108 ",47.5235665,-122.3245331,Highland Park Elementary,1.1408865051075212,14869.8,2,2,2,2,1,1,1,1,1,1,1,5,E,Ess.,723 S Concord St.,Y,67889.0,"63,259",3.4,1913,2000,BEX I,1.2793103448275862,4806232.38,-493990.38,-1703.42,234.1
